"","species_name","museum_name","location","state","country","n_records","sex","subspecies","notes","place","lat","lon"
"34","Cacatua sanguinea","ANWC","Cannon Hill","Northern Territory","Australia",1,"m","","","Cannon Hill, Northern Territory, Australia",-12.3575417,132.946117525605
"35","Cacatua sanguinea","ANWC","Magela Creek","Northern Territory","Australia",1,"m","","","Magela Creek, Northern Territory, Australia",-12.5935397,132.8762029
"36","Cacatua sanguinea","ANWC","Kapalga","Northern Territory","Australia",1,"m","","","Kapalga, Northern Territory, Australia",-12.6978554,132.370296320643
"37","Cacatua sanguinea","ANWC","Mt Isa","Queensland","Australia",2,"m","","","Mt Isa, Queensland, Australia",-20.7289898,139.4931522
"38","Cacatua sanguinea","ANWC","Standend CYP","Queensland","Australia",1,"m","","imm","Standend CYP, Queensland, Australia",NA,NA
"39","Cacatua sanguinea","ANWC","Inkerman","Queensland","Australia",2,"m","","1st record: ad","Inkerman, Queensland, Australia",-19.7111895,147.49732427189
"40","Cacatua sanguinea","ANWC","Delta Downs","Queensland","Australia",2,"m","","1st, 3rd record: ad, 2nd record: juv","Delta Downs, Queensland, Australia",-27.32685705,150.882375592042
"41","Cacatua sanguinea","ANWC","Richmond, Flinders River","Queensland","Australia",1,"m","","","Richmond, Flinders River, Queensland, Australia",-20.8021154,144.0886121
"42","Cacatua sanguinea","ANWC","Hughenden","Queensland","Australia",1,"m","","","Hughenden, Queensland, Australia",-20.8422448,144.2002892
"43","Cacatua sanguinea","ANWC","Townsville","Queensland","Australia",1,"m","","","Townsville, Queensland, Australia",-19.2569391,146.8239537
"44","Cacatua sanguinea","ANWC","Cluny Station (Bedourie-Winderah)","Queensland","Australia",3,"m","","2nd record: imm","Cluny Station (Bedourie-Winderah), Queensland, Australia",NA,NA
"45","Cacatua sanguinea","ANWC","Menindee","New South Wales","Australia",1,"m","","","Menindee, New South Wales, Australia",-32.3922289,142.4162971
"46","Cacatua sanguinea","ANWC","Dapto","New South Wales","Australia",1,"m","","","Dapto, New South Wales, Australia",-34.493037,150.791789
"47","Cacatua sanguinea","ANWC","Merbein","Victoria","Australia",2,"m","","","Merbein, Victoria, Australia",-34.167621,142.0581482
"48","Cacatua sanguinea","ANWC","Nelshaby","South Australia","Australia",2,"m","","","Nelshaby, South Australia, Australia",-33.1294331,138.1134455
"49","Cacatua sanguinea","ANWC","Port Germein","South Australia","Australia",1,"m","","sub","Port Germein, South Australia, Australia",-33.0205285,137.9993185
"50","Cacatua sanguinea","ANWC","Koolpinyah, Darwin","Northern Territory","Australia",1,"f","","","Koolpinyah, Darwin, Northern Territory, Australia",-12.3633207,130.882207652456
"51","Cacatua sanguinea","ANWC","Cannon Hill","Northern Territory","Australia",2,"f","","2nd record: imm","Cannon Hill, Northern Territory, Australia",-12.3575417,132.946117525605
"52","Cacatua sanguinea","ANWC","Kapalga","Northern Territory","Australia",1,"f","","ad","Kapalga, Northern Territory, Australia",-12.6978554,132.370296320643
"53","Cacatua sanguinea","ANWC","Maria Island","Northern Territory","Australia",1,"f","","ad","Maria Island, Northern Territory, Australia",NA,NA
"54","Cacatua sanguinea","ANWC","Mt Isa","Queensland","Australia",1,"f","","ad","Mt Isa, Queensland, Australia",-20.7289898,139.4931522
"55","Cacatua sanguinea","ANWC","Inkerman","Queensland","Australia",2,"f","","both records: ad","Inkerman, Queensland, Australia",-19.7111895,147.49732427189
"56","Cacatua sanguinea","ANWC","Delta Downs","Queensland","Australia",2,"f","","both records: sub","Delta Downs, Queensland, Australia",-27.32685705,150.882375592042
"57","Cacatua sanguinea","ANWC","Richmond, Flinders River","Queensland","Australia",1,"f","","ad","Richmond, Flinders River, Queensland, Australia",-20.8021154,144.0886121
"58","Cacatua sanguinea","ANWC","Hughenden","Queensland","Australia",1,"f","","subad","Hughenden, Queensland, Australia",-20.8422448,144.2002892
"59","Cacatua sanguinea","ANWC","Milperinka","New South Wales","Australia",2,"f","","1st record: ad","Milperinka, New South Wales, Australia",NA,NA
"60","Cacatua sanguinea","ANWC","Wilcannia","New South Wales","Australia",1,"f","","","Wilcannia, New South Wales, Australia",-31.5591717,143.3745777
"61","Cacatua sanguinea","ANWC","Menindee","New South Wales","Australia",4,"f","","1st record: AD, 2nd: SUB, 3rd: AD, 4th: SUB","Menindee, New South Wales, Australia",-32.3922289,142.4162971
"62","Cacatua sanguinea","ANWC","100km W Cobar","New South Wales","Australia",1,"f","","AD","100km W Cobar, New South Wales, Australia",-31.4983333,144.777861705724
"63","Cacatua sanguinea","ANWC","Dapto","New South Wales","Australia",1,"f","","AD","Dapto, New South Wales, Australia",-34.493037,150.791789
"64","Cacatua sanguinea","ANWC","Lake Tutchewop","Victoria","Australia",1,"f","","ad","Lake Tutchewop, Victoria, Australia",-35.51444895,143.753695401346
"65","Cacatua sanguinea","ANWC","Merbein","Victoria","Australia",3,"f","","1st: AD, 2nd: SUB, 3rd: AD","Merbein, Victoria, Australia",-34.167621,142.0581482
"66","Cacatua sanguinea","ANWC","Lake Harry","South Australia","Australia",1,"m","","","Lake Harry, South Australia, Australia",-29.3960798,138.306389722732
"67","Cacatua sanguinea","ANWC","Arkaringa Creek, Welbourne Hill","South Australia","Australia",4,"m","","1st: sub","Arkaringa Creek, Welbourne Hill, South Australia, Australia",NA,NA
"68","Cacatua sanguinea","ANWC","7mi E Cambrai","South Australia","Australia",1,"f","","","7mi E Cambrai, South Australia, Australia",NA,NA
"69","Cacatua sanguinea","ANWC","Nelshaby","South Australia","Australia",2,"f","","","Nelshaby, South Australia, Australia",-33.1294331,138.1134455
"70","Cacatua sanguinea","ANWC","Wirrealpa","South Australia","Australia",1,"f","","","Wirrealpa, South Australia, Australia",-31.1815612,139.170203017
"71","Cacatua sanguinea","ANWC","Beltana","South Australia","Australia",1,"f","","","Beltana, South Australia, Australia",-30.83131055,138.411241336749
"72","Cacatua sanguinea","ANWC","113km S Marla","South Australia","Australia",1,"f","","","113km S Marla, South Australia, Australia",-28.321138018018,133.6217946
"73","Cacatua sanguinea","ANWC","Manuka, Canberra","Australian Capital Territory","Australia",1,"f","","","Manuka, Canberra, Australian Capital Territory, Australia",-35.3201918,149.1328959
"74","Cacatua sanguinea","ANWC","12km SW Hillston","New South Wales","Australia",2,"f","","","12km SW Hillston, New South Wales, Australia",-33.5896306081081,145.404883082629
"75","Cacatua sanguinea","ANWC","29km NE Hillston","New South Wales","Australia",1,"f","","","29km NE Hillston, New South Wales, Australia",-33.2202612387387,145.847738150314
"76","Cacatua sanguinea","ANWC","39km W Condobolin","New South Wales","Australia",1,"f","","","39km W Condobolin, New South Wales, Australia",-33.0880805,146.728602992751
"77","Cacatua sanguinea","ANWC","21km N Miliner Station, Hamersley Ranges ","Western Australia","Australia",1,"m","","","21km N Miliner Station, Hamersley Ranges , Western Australia, Australia",NA,NA
"78","Cacatua sanguinea","ANWC","Kowanyama","Queensland","Australia",2,"m","","","Kowanyama, Queensland, Australia",-15.2749595,141.817936097091
"79","Cacatua sanguinea","ANWC","Noonbah","Queensland","Australia",1,"m","","","Noonbah, Queensland, Australia",-23.958205,143.2722763
"80","Cacatua sanguinea","ANWC","Canberra","Australian Capital Territory","Australia",1,"m","","JUV! soft bill","Canberra, Australian Capital Territory, Australia",-35.2975906,149.1012676
"81","Cacatua sanguinea","ANWC","29km NE Hillston, Lachlan River","New South Wales","Australia",2,"m","","","29km NE Hillston, Lachlan River, New South Wales, Australia",-33.1013466387387,145.989989502065
"82","Cacatua sanguinea","SA White Collection","Central Australia","Northern Territory","Australia",1,"m","","","Central Australia, Northern Territory, Australia",-23.6951964,133.8804272
"83","Cacatua sanguinea","SA White Collection","Moolooloo","South Australia","Australia",1,"m","","","Moolooloo, South Australia, Australia",-31.00842065,138.564730890038
"84","Cacatua sanguinea","SA White Collection","Moolooloo","South Australia","Australia",1,"f","","","Moolooloo, South Australia, Australia",-31.00842065,138.564730890038
"85","Cacatua sanguinea","SA White Collection","Mt Lyndhurst","South Australia","Australia",1,"f","","","Mt Lyndhurst, South Australia, Australia",-30.0192478,138.822456358022
"86","Cacatua sanguinea","SA White Collection","Innamincka","South Australia","Australia",1,"m","","prob male","Innamincka, South Australia, Australia",-27.745643,140.7375818
"87","Cacatua sanguinea","ANWC","Point Sampson, Roebourne","Western Australia","Australia",1,"m","westralensis ","","Point Sampson, Roebourne, Western Australia, Australia",NA,NA
"88","Cacatua sanguinea","ANWC","Cape Range NP","Western Australia","Australia",3,"f","westralensis ","","Cape Range NP, Western Australia, Australia",-22.15885,113.935370174576
"89","Cacatua sanguinea","ANWC","27km NE Toolunga Creek, Onslow","Western Australia","Australia",1,"f","westralensis ","","27km NE Toolunga Creek, Onslow, Western Australia, Australia",NA,NA
"90","Cacatua sanguinea","ANWC","21km N Mininer Station, Hamersley Ranges ","Western Australia","Australia",1,"f","westralensis ","","21km N Mininer Station, Hamersley Ranges , Western Australia, Australia",NA,NA
"91","Cacatua sanguinea","ANWC","54km NW Paraburdoo","Western Australia","Australia",1,"f","westralensis ","","54km NW Paraburdoo, Western Australia, Australia",-22.7141508135135,117.141210267129
"92","Cacatua sanguinea","ANWC","40km SW Mt Tom Price","Western Australia","Australia",1,"f","westralensis ","","40km SW Mt Tom Price, Western Australia, Australia",-23.1190779603604,117.385525902575
"93","Cacatua sanguinea","ANWC","Warramboo Creek, 312 SW Karratha","Western Australia","Australia",1,"f","westralensis ","","Warramboo Creek, 312 SW Karratha, Western Australia, Australia",NA,NA
"94","Cacatua sanguinea","QM","Kununurra","Western Australia","Australia",3,"m","","adults","Kununurra, Western Australia, Australia",-15.7730916,128.738839
"95","Cacatua sanguinea","QM","Kununurra","Western Australia","Australia",1,"f","","adults","Kununurra, Western Australia, Australia",-15.7730916,128.738839
"96","Cacatua sanguinea","QM","Mungeranie","South Australia","Australia",1,"m","","","Mungeranie, South Australia, Australia",-28.01533045,139.119786452472
"97","Cacatua sanguinea","QM","Birdsville","Queensland","Australia",1,"m","","","Birdsville, Queensland, Australia",-25.8980596,139.3523124
"98","Cacatua sanguinea","QM","Old Doomadgee","Queensland","Australia",1,"m","","out of geog sync","Old Doomadgee, Queensland, Australia",-17.9364684,138.8309817
"99","Cacatua sanguinea","QM","Georgina Range, Lake Nash","Northern Territory","Australia",1,"m","","","Georgina Range, Lake Nash, Northern Territory, Australia",NA,NA
"100","Cacatua sanguinea","QM","32km NE Lake Nash","Northern Territory","Australia",4,"m","","","32km NE Lake Nash, Northern Territory, Australia",-20.6759337117117,138.227313215149
"101","Cacatua sanguinea","QM","37km SW Mt Isa","Queensland","Australia",5,"m","","","37km SW Mt Isa, Queensland, Australia",-21.0623231333333,139.136746998901
"102","Cacatua sanguinea","QM","Leichardt River, Coolulah, 100km N Cloncurry","Queensland","Australia",2,"m","","","Leichardt River, Coolulah, 100km N Cloncurry, Queensland, Australia",NA,140.5058305
"103","Cacatua sanguinea","QM","Leichardt Falls, Floraville","Queensland","Australia",3,"m","","","Leichardt Falls, Floraville, Queensland, Australia",NA,NA
"104","Cacatua sanguinea","QM","Wernadinga","Queensland","Australia",1,"m","","","Wernadinga, Queensland, Australia",-18.1199,139.9575406
"105","Cacatua sanguinea","QM","Birdsville","Queensland","Australia",1,"f","","","Birdsville, Queensland, Australia",-25.8980596,139.3523124
"106","Cacatua sanguinea","QM","32km NE Lake Nash","Northern Territory","Australia",3,"f","","","32km NE Lake Nash, Northern Territory, Australia",-20.6759337117117,138.227313215149
"107","Cacatua sanguinea","QM","37km SW Mt Isa","Queensland","Australia",3,"f","","","37km SW Mt Isa, Queensland, Australia",-21.0623231333333,139.136746998901
"108","Cacatua sanguinea","QM","Leichardt River, Coolulah","Queensland","Australia",2,"f","","","Leichardt River, Coolulah, Queensland, Australia",NA,NA
"109","Cacatua sanguinea","QM","Bullocky Lagoon, 5km S Myra Vale","Queensland","Australia",11,"f","","8th record: imm","Bullocky Lagoon, 5km S Myra Vale, Queensland, Australia",NA,NA
"110","Cacatua sanguinea","QM","Bullocky Lagoon, 5km S Myra Vale","Queensland","Australia",5,"m","","","Bullocky Lagoon, 5km S Myra Vale, Queensland, Australia",NA,NA
"111","Cacatua sanguinea","QM","Flinders River Crossing, Milgarra","Queensland","Australia",5,"m","","","Flinders River Crossing, Milgarra, Queensland, Australia",NA,NA
"112","Cacatua sanguinea","QM","Noonbah","Queensland","Australia",1,"m","","","Noonbah, Queensland, Australia",-23.958205,143.2722763
"113","Cacatua sanguinea","QM","Currane, Dartmouth","Queensland","Australia",1,"m","","","Currane, Dartmouth, Queensland, Australia",NA,NA
"114","Cacatua sanguinea","QM","Currane, Dartmouth","Queensland","Australia",2,"f","","","Currane, Dartmouth, Queensland, Australia",NA,NA
"115","Cacatua sanguinea","QM","Flinders River Crossing, Milgarra","Queensland","Australia",2,"f","","1st: AD 2nd: sub","Flinders River Crossing, Milgarra, Queensland, Australia",NA,NA
"116","Cacatua sanguinea","QM","Uralla, Saxby River","Queensland","Australia",2,"f","","","Uralla, Saxby River, Queensland, Australia",NA,NA
"117","Cacatua sanguinea","QM","Noonbah","Queensland","Australia",1,"m","","","Noonbah, Queensland, Australia",-23.958205,143.2722763
"118","Cacatua sanguinea","QM","Currane, Dartmouth","Queensland","Australia",1,"m","","","Currane, Dartmouth, Queensland, Australia",NA,NA
"119","Cacatua sanguinea","QM","Currane, Dartmouth","Queensland","Australia",2,"f","","","Currane, Dartmouth, Queensland, Australia",NA,NA
"120","Cacatua sanguinea","?","Kai Islands","","Indonesia",2,"m","","","Kai Islands, , Indonesia",-5.77148835,132.737760021143
"121","Cacatua sanguinea","?","Tanimber Islands","","Indonesia",2,"m","","","Tanimber Islands, , Indonesia",NA,NA
"122","Cacatua sanguinea","?","Kisser Islands","","Indonesia",1,"f","","","Kisser Islands, , Indonesia",NA,NA
"123","Cacatua sanguinea","?","Tanimber Islands","","Indonesia",4,"f","","","Tanimber Islands, , Indonesia",NA,NA
"124","Cacatua sanguinea","?","Murchison Goldfield, Lake Way","Western Australia","Australia",1,"m","","type of westralensis","Murchison Goldfield, Lake Way, Western Australia, Australia",NA,NA
"125","Cacatua sanguinea","?","Point Cloates","Western Australia","Australia",1,"m","","","Point Cloates, Western Australia, Australia",-22.7165105,113.6706466
"126","Cacatua sanguinea","?","Fitzroy River (NWA)","Western Australia","Australia",1,"m","","","Fitzroy River (NWA), Western Australia, Australia",NA,NA
"127","Cacatua sanguinea","?","Oobagooma","Western Australia","Australia",1,"m","","","Oobagooma, Western Australia, Australia",NA,NA
"128","Cacatua sanguinea","?","Flora Valley","Western Australia","Australia",1,"m","","","Flora Valley, Western Australia, Australia",-18.3230548,128.0031516
"129","Cacatua sanguinea","?","Parry's Creek","Western Australia","Australia",1,"m","","type of subdistincta ","Parry's Creek, Western Australia, Australia",-32.0564319,115.8579056
"130","Cacatua sanguinea","?","Daly River","Northern Territory","Australia",1,"m","","","Daly River, Northern Territory, Australia",-13.5868485,130.641135921016
"131","Cacatua sanguinea","?","Melville Island","Northern Territory","Australia",2,"m","","1st: type of apsleyi","Melville Island, Northern Territory, Australia",-11.55217955,130.972739862689
"132","Cacatua sanguinea","?","South Alligator River","Northern Territory","Australia",2,"m","","1st: type of distincta","South Alligator River, Northern Territory, Australia",-13.3493717,132.3629413
"133","Cacatua sanguinea","?","Alexandria","Queensland","Australia",1,"m","","","Alexandria, Queensland, Australia",-26.384963,153.115700299332
"134","Cacatua sanguinea","?","Normanton","Queensland","Australia",2,"m","","1st: type of normantoni","Normanton, Queensland, Australia",-17.90756185,140.933684044475
"135","Cacatua sanguinea","?","Vindex","Queensland","Australia",1,"m","","","Vindex, Queensland, Australia",-22.61414745,143.400084497722
"136","Cacatua sanguinea","?","Yanco Glen","New South Wales","Australia",1,"m","","type of ashbyi","Yanco Glen, New South Wales, Australia",-31.7143152,141.5758153
"137","Cacatua sanguinea","?","Broken Hill","New South Wales","Australia",1,"m","","","Broken Hill, New South Wales, Australia",-31.965,141.4511111
"138","Cacatua sanguinea","?","Point Cloates","Western Australia","Australia",1,"f","","","Point Cloates, Western Australia, Australia",-22.7165105,113.6706466
"139","Cacatua sanguinea","?","Yardie Creek","Western Australia","Australia",1,"f","","","Yardie Creek, Western Australia, Australia",-22.2691809,113.9353035
"140","Cacatua sanguinea","?","Parry's Creek","Western Australia","Australia",2,"f","","1st: sub","Parry's Creek, Western Australia, Australia",-32.0564319,115.8579056
"141","Cacatua sanguinea","?","Flora Valley","Western Australia","Australia",1,"f","","","Flora Valley, Western Australia, Australia",-18.3230548,128.0031516
"142","Cacatua sanguinea","?","Daly River","Northern Territory","Australia",1,"f","","","Daly River, Northern Territory, Australia",-13.5868485,130.641135921016
"143","Cacatua sanguinea","?","Melville Island","Northern Territory","Australia",2,"f","","","Melville Island, Northern Territory, Australia",-11.55217955,130.972739862689
"144","Cacatua sanguinea","?","South Alligator River","Northern Territory","Australia",3,"f","","","South Alligator River, Northern Territory, Australia",-13.3493717,132.3629413
"145","Cacatua sanguinea","?","Normanton","Queensland","Australia",4,"f","","","Normanton, Queensland, Australia",-17.90756185,140.933684044475
"146","Cacatua sanguinea","?","Birdsville","Queensland","Australia",1,"f","","","Birdsville, Queensland, Australia",-25.8980596,139.3523124
"147","Cacatua sanguinea","?","Olary","South Australia","Australia",1,"f","","ad by wing tip","Olary, South Australia, Australia",-32.2803245,140.3265421
"148","Cacatua sanguinea","?","Yanco Glen","New South Wales","Australia",1,"f","","","Yanco Glen, New South Wales, Australia",-31.7143152,141.5758153
"149","Cacatua sanguinea","MV","Borden","Western Australia","Australia",1,"m","","","Borden, Western Australia, Australia",-34.0717971,118.2632954
"150","Cacatua sanguinea","MV","Exmouth","Western Australia","Australia",1,"m","","","Exmouth, Western Australia, Australia",-22.29247155,114.146958632811
"151","Cacatua sanguinea","MV","Carnarvon","Western Australia","Australia",1,"m","","","Carnarvon, Western Australia, Australia",-24.8826131,113.6576486
"152","Cacatua sanguinea","MV","Lake Way","Western Australia","Australia",1,"m","","","Lake Way, Western Australia, Australia",-26.8159106,120.373948779167
"153","Cacatua sanguinea","MV","NW Cape","Western Australia","Australia",1,"m","","","NW Cape, Western Australia, Australia",-33.8647915,114.9855019
"154","Cacatua sanguinea","MV","Derby","Western Australia","Australia",2,"m","","","Derby, Western Australia, Australia",-17.3031789,123.6282908
"155","Cacatua sanguinea","MV","Ord Irrigation","Western Australia","Australia",1,"m","","","Ord Irrigation, Western Australia, Australia",NA,NA
"156","Cacatua sanguinea","MV","Oenpelli","Northern Territory","Australia",1,"m","","","Oenpelli, Northern Territory, Australia",-12.324689,133.0536179
"157","Cacatua sanguinea","MV","Groote Eylandt","Northern Territory","Australia",1,"m","","","Groote Eylandt, Northern Territory, Australia",-13.9805252,136.586880058089
"158","Cacatua sanguinea","MV","Marla, SA","South Australia","Australia",2,"m","","","Marla, SA, South Australia, Australia",-27.30312,133.6217946
"159","Cacatua sanguinea","MV","Richman Valley, Flinders Ranges","South Australia","Australia",1,"m","","","Richman Valley, Flinders Ranges, South Australia, Australia",-32.3557221,138.0388389
"160","Cacatua sanguinea","MV","Wilpera, Flinders Ranges","South Australia","Australia",1,"m","","","Wilpera, Flinders Ranges, South Australia, Australia",NA,NA
"161","Cacatua sanguinea","MV","Mildura","Victoria","Australia",1,"m","","","Mildura, Victoria, Australia",-34.195274,142.1503146
"162","Cacatua sanguinea","MV","Merbein","Victoria","Australia",4,"m","","","Merbein, Victoria, Australia",-34.167621,142.0581482
"163","Cacatua sanguinea","MV","Lake Albacutya","Victoria","Australia",1,"m","","","Lake Albacutya, Victoria, Australia",-35.74878675,141.971184905182
"164","Cacatua sanguinea","MV","Borden","Western Australia","Australia",1,"f","","","Borden, Western Australia, Australia",-34.0717971,118.2632954
"165","Cacatua sanguinea","MV","Cape Range NP","Western Australia","Australia",1,"f","","","Cape Range NP, Western Australia, Australia",-22.15885,113.935370174576
"166","Cacatua sanguinea","MV","Lake Way","Western Australia","Australia",1,"f","","","Lake Way, Western Australia, Australia",-26.8159106,120.373948779167
"167","Cacatua sanguinea","MV","Dampier Island","Western Australia","Australia",2,"f","","","Dampier Island, Western Australia, Australia",-25.5113283,113.0136472
"168","Cacatua sanguinea","MV","Minilya River","Western Australia","Australia",1,"f","","","Minilya River, Western Australia, Australia",-23.8552074,115.1919722
"169","Cacatua sanguinea","MV","Ord Irrigation","Western Australia","Australia",2,"f","","","Ord Irrigation, Western Australia, Australia",NA,NA
"170","Cacatua sanguinea","MV","Oenpelli","Northern Territory","Australia",2,"f","","","Oenpelli, Northern Territory, Australia",-12.324689,133.0536179
"171","Cacatua sanguinea","MV","Richman Valley, Flinders Ranges","South Australia","Australia",2,"f","","","Richman Valley, Flinders Ranges, South Australia, Australia",-32.3557221,138.0388389
"172","Cacatua sanguinea","MV","Frome Downs","South Australia","Australia",1,"f","","","Frome Downs, South Australia, Australia",-30.57636645,140.174809640095
"173","Cacatua sanguinea","MV","Little Murray River","Victoria","Australia",1,"f","","","Little Murray River, Victoria, Australia",-35.35135675,143.56713481427
"174","Cacatua sanguinea","MV","Whyjouta Station","New South Wales","Australia",1,"f","","","Whyjouta Station, New South Wales, Australia",NA,NA
"175","Cacatua sanguinea","ANWC","Bulloo River Station","Northern Territory","Australia",1,"m","","","Bulloo River Station, Northern Territory, Australia",NA,NA
"176","Cacatua sanguinea","ANWC","Annaburroo Station","Northern Territory","Australia",1,"m","","main plume missing","Annaburroo Station, Northern Territory, Australia",NA,NA
"177","Cacatua sanguinea","ANWC","Mountain Valley Station","Northern Territory","Australia",2,"m","","","Mountain Valley Station, Northern Territory, Australia",NA,NA
"178","Cacatua sanguinea","ANWC","Koolpinyah","Northern Territory","Australia",2,"f","","","Koolpinyah, Northern Territory, Australia",-12.359574,131.21350000686
"179","Cacatua sanguinea","ANWC","Annaburroo Station","Northern Territory","Australia",1,"f","","main plume missing","Annaburroo Station, Northern Territory, Australia",NA,NA
"180","Cacatua sanguinea","ANWC","28km SE Wyndham","Western Australia","Australia",1,"m","","","28km SE Wyndham, Western Australia, Australia",-15.7390499522523,128.385375690921
"181","Cacatua sanguinea","ANWC","10km SE Bulka Station","Western Australia","Australia",5,"m","","","10km SE Bulka Station, Western Australia, Australia",NA,NA
"182","Cacatua sanguinea","ANWC","35km S Broome","Western Australia","Australia",2,"m","","","35km S Broome, Western Australia, Australia",-18.2720062153153,122.2240181
"183","Cacatua sanguinea","ANWC","Doon Doon Roadhouse","Western Australia","Australia",1,"m","","","Doon Doon Roadhouse, Western Australia, Australia",-16.3086414,128.2475834
"184","Cacatua sanguinea","ANWC","10km SE Bulka Station","Western Australia","Australia",2,"m","","","10km SE Bulka Station, Western Australia, Australia",NA,NA
