occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus gasseri","Camponotus gasseri (Forel, 1894)","5034264","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus gasseri","Camponotus gasseri","(Forel, 1894) ","5034264",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus innexus","Camponotus innexus Forel, 1902","5034489","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus innexus","Camponotus innexus","Forel, 1902","5034489",
,"Paratrechina longicornis","Paratrechina longicornis (Latreille, 1802)","1325561","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Paratrechina","Paratrechina longicornis","Paratrechina longicornis","(Latreille, 1802) ","1325561",
,"Camponotus aeneopilosus","Camponotus aeneopilosus Mayr, 1862","5033875","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus aeneopilosus","Camponotus aeneopilosus","Mayr, 1862","5033875",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Aphis fabae","Aphis fabae Scopoli, 1763","2072167","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","Aphis","Aphis fabae","Aphis fabae","Scopoli, 1763","2072167",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Pelmatolapia mariae","Pelmatolapia mariae (Boulenger, 1899)","9552432","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Pelmatolapia","Pelmatolapia mariae","Pelmatolapia mariae","(Boulenger, 1899) ","9552432",
,"Araujia sericifera","Araujia sericifera Brot.","3170442","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Araujia","Araujia sericifera","Araujia sericifera","Brot.","3170442",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Leucanthemum vulgare","Leucanthemum vulgare Lam.","8848598","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Leucanthemum","Leucanthemum vulgare","Leucanthemum vulgare","Lam.","8848598",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Gambusia holbrooki","Gambusia holbrooki Girard, 1859","2350570","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Chortoicetes terminifera","Chortoicetes terminifera (Walker, 1870)","5098434","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chortoicetes","Chortoicetes terminifera","Chortoicetes terminifera","(Walker, 1870) ","5098434",
,"Styela plicata","Styela plicata (Lesueur, 1823)","2331954","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela","Styela plicata","Styela plicata","(Lesueur, 1823) ","2331954",
,"Styela clava","Styela clava Herdman, 1881","2331942","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela","Styela clava","Styela clava","Herdman, 1881","2331942",
,"Styela clava","Styela clava Herdman, 1881","2331942","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela","Styela clava","Styela clava","Herdman, 1881","2331942",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Ludwigia peruviana","Ludwigia peruviana (L.) H.Hara","5421024","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia peruviana","Ludwigia peruviana","(L.) H.Hara","5421024",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Camponotus aeneopilosus","Camponotus aeneopilosus Mayr, 1862","5033875","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus aeneopilosus","Camponotus aeneopilosus","Mayr, 1862","5033875",
,"Harrisia martinii","Harrisia martinii (Labour.) Britton","5384187","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Harrisia","Harrisia martinii","Harrisia martinii","(Labour.) Britton","5384187",
,"Harrisia martinii","Harrisia martinii (Labour.) Britton","5384187","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Harrisia","Harrisia martinii","Harrisia martinii","(Labour.) Britton","5384187",
,"Harrisia martinii","Harrisia martinii (Labour.) Britton","5384187","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Harrisia","Harrisia martinii","Harrisia martinii","(Labour.) Britton","5384187",
,"Harrisia martinii","Harrisia martinii (Labour.) Britton","5384187","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Harrisia","Harrisia martinii","Harrisia martinii","(Labour.) Britton","5384187",
,"Harrisia martinii","Harrisia martinii (Labour.) Britton","5384187","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Harrisia","Harrisia martinii","Harrisia martinii","(Labour.) Britton","5384187",
,"Harrisia martinii","Harrisia martinii (Labour.) Britton","5384187","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Harrisia","Harrisia martinii","Harrisia martinii","(Labour.) Britton","5384187",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Nassella trichotoma","Nassella trichotoma (Nees) Hack. & Arechav.","9613389","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Nassella","Nassella trichotoma","Nassella trichotoma","(Nees) Hack. & Arechav.","9613389",
,"Nassella trichotoma","Nassella trichotoma (Nees) Hack. & Arechav.","9613389","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Nassella","Nassella trichotoma","Nassella trichotoma","(Nees) Hack. & Arechav.","9613389",
