"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"reproductiveCondition","reproductiveCondition","reproductiveCondition","reproductiveCondition","reproductiveCondition","reproductiveCondition","","http://rs.tdwg.org/dwc/terms/reproductiveCondition"
"behavior","behavior","behavior","behavior","Behavior","behavior","","http://rs.tdwg.org/dwc/terms/behavior"
"establishmentMeans","establishmentMeans","establishmentMeans","establishmentMeans","Establishment means","establishmentMeans","","http://rs.tdwg.org/dwc/terms/establishmentMeans"
"occurrenceStatus","occurrenceStatus","occurrenceStatus","occurrenceStatus","Presence/Absence","occurrenceStatus","Occurrence status","A statement about the presence or absence of a taxon at a Location http://rs.tdwg.org/dwc/terms/occurrenceStatus"
"preparations","preparations","preparations","preparations","Preparations","preparations","Preparations","http://rs.tdwg.org/dwc/terms/preparations"
"disposition","disposition","disposition","disposition","Disposition","disposition","","http://rs.tdwg.org/dwc/terms/disposition"
"associatedMedia","associatedMedia","associatedMedia","associatedMedia","Associated Media","associatedMedia","","http://rs.tdwg.org/dwc/terms/associatedMedia"
"associatedReferences","associatedReferences","associatedReferences","associatedReferences","Associated References","associatedReferences","","http://rs.tdwg.org/dwc/terms/associatedReferences"
"associatedSequences","associatedSequences","associatedSequences","associatedSequences","Associated Sequences","associatedSequences","","http://rs.tdwg.org/dwc/terms/associatedSequences"
"associatedTaxa","associatedTaxa","associatedTaxa","associatedTaxa","Associated Taxa","associatedTaxa","","http://rs.tdwg.org/dwc/terms/associatedTaxa"
"otherCatalogNumbers","otherCatalogNumbers","otherCatalogNumbers","otherCatalogNumbers","Other Catalog Numbers","otherCatalogNumbers","","http://rs.tdwg.org/dwc/terms/otherCatalogNumbers"
"occurrenceRemarks","occurrenceRemarks","occurrenceRemarks","occurrenceRemarks","Occurrence Remarks","occurrenceRemarks","","http://rs.tdwg.org/dwc/terms/occurrenceRemarks"
"organismID","organismID","organismID","organismID","Organism ID","organismID","","http://rs.tdwg.org/dwc/terms/organismID"
"organismName","organismName","organismName","organismName","Organism Name","organismName","","http://rs.tdwg.org/dwc/terms/organismName"
"associatedOccurrences","associatedOccurrences","associatedOccurrences","associatedOccurrences","Associated Occurrences","associatedOccurrences","","http://rs.tdwg.org/dwc/terms/associatedOccurrences"
"previousIdentifications","previousIdentifications","previousIdentifications","previousIdentifications","Previous Identifications","previousIdentifications","","http://rs.tdwg.org/dwc/terms/previousIdentifications"
"materialSampleID","materialSampleID","materialSampleID","materialSampleID","Material Sample ID","materialSampleID","","http://rs.tdwg.org/dwc/terms/materialSampleID"
"eventID","eventID","eventID","eventID","Event ID","eventID","","http://rs.tdwg.org/dwc/terms/eventID"
"parentEventID","parentEventID","parentEventID","parentEventID","Parent Event ID","parentEventID","","http://rs.tdwg.org/dwc/terms/parentEventID"
"fieldNumber","fieldNumber","fieldNumber","fieldNumber","Field Number","fieldNumber","","http://rs.tdwg.org/dwc/terms/fieldNumber"
"eventDate","eventDate","eventDate","eventDate","Event Date","eventDate","Event Date","The ISO formatted date of observation, specimen collection date. http://rs.tdwg.org/dwc/terms/eventDate"
"eventTime","eventTime","eventTime","eventTime","Event Time","eventTime","Event Time","http://rs.tdwg.org/dwc/terms/eventTime"
"year","year","year","year","Year","year","Year","The year in which an occurrence was observed. http://rs.tdwg.org/dwc/terms/year"
"month","month","month","month","Month","month","Month","Month of observation, specimen collection date. http://rs.tdwg.org/dwc/terms/month"
"day","day","day","day","Day","day","Day","http://rs.tdwg.org/dwc/terms/day"
"verbatimEventDate","verbatimEventDate","verbatimEventDate","verbatimEventDate","Verbatim event date","verbatimEventDate","Verbatim event date","http://rs.tdwg.org/dwc/terms/verbatimEventDate"
"habitat","habitat","habitat","habitat","Habitat","habitat","","http://rs.tdwg.org/dwc/terms/habitat"
"samplingProtocol","samplingProtocol","samplingProtocol","samplingProtocol","Sampling Protocol","samplingProtocol","","http://rs.tdwg.org/dwc/terms/samplingProtocol"
"samplingEffort","samplingEffort","samplingEffort","samplingEffort","Sampling Effort","samplingEffort","","http://rs.tdwg.org/dwc/terms/samplingEffort"
"sampleSizeValue","sampleSizeValue","sampleSizeValue","sampleSizeValue","Sampling Size Value","sampleSizeValue","","http://rs.tdwg.org/dwc/terms/sampleSizeValue"
"sampleSizeUnit","sampleSizeUnit","sampleSizeUnit","sampleSizeUnit","Sampling Size Unit","sampleSizeUnit","","http://rs.tdwg.org/dwc/terms/sampleSizeUnit"
"fieldNotes","fieldNotes","fieldNotes","fieldNotes","Field Notes","fieldNotes","","http://rs.tdwg.org/dwc/terms/fieldNotes"
"eventRemarks","eventRemarks","eventRemarks","eventRemarks","Event Remarks","eventRemarks","","http://rs.tdwg.org/dwc/terms/eventRemarks"
"locationID","locationID","locationID","locationID","Location ID","locationID","","http://rs.tdwg.org/dwc/terms/locationID"
"higherGeography","higherGeography","higherGeography","higherGeography","Higher Geography","higherGeography","","http://rs.tdwg.org/dwc/terms/higherGeography"
"continent","continent","continent","continent","Continent","continent","","http://rs.tdwg.org/dwc/terms/continent"
"waterBody","waterBody","waterBody","waterBody","Water Body","waterBody","","http://rs.tdwg.org/dwc/terms/waterBody"
"islandGroup","islandGroup","islandGroup","islandGroup","Island Group","islandGroup","","http://rs.tdwg.org/dwc/terms/islandGroup"
"island","island","island","island","Island","island","","http://rs.tdwg.org/dwc/terms/island"
"country","country","country","country","Country","country","Country - parsed","The country where the specimen was collected or observation was made http://rs.tdwg.org/dwc/terms/country"
"countryCode","countryCode","countryCode","countryCode","Country Code","countryCode","","http://rs.tdwg.org/dwc/terms/countryCode"
"stateProvince","stateProvince","stateProvince","stateProvince","State/Territory","stateProvince","State - parsed","The state or territory matching the supplied coordinates http://rs.tdwg.org/dwc/terms/stateProvince"
"county","county","county","county","County","county","","http://rs.tdwg.org/dwc/terms/county"
"municipality","municipality","municipality","municipality","Municipality","municipality","","http://rs.tdwg.org/dwc/terms/municipality"
"locality","raw_locality","locality","raw_locality","Locality","raw_locality","Locality","http://rs.tdwg.org/dwc/terms/locality"
"verbatimLocality","verbatimLocality","verbatimLocality","verbatimLocality","Verbatim Locality","verbatimLocality","","http://rs.tdwg.org/dwc/terms/verbatimLocality"
"minimumElevationInMeters","minimumElevationInMeters","minimumElevationInMeters","minimumElevationInMeters","Min elevation","minimumElevationInMeters","Minimum Elevation In Metres","Min altitude/elevation for this occurrence. http://rs.tdwg.org/dwc/terms/minimumElevationInMeters"
"maximumElevationInMeters","maximumElevationInMeters","maximumElevationInMeters","maximumElevationInMeters","Max elevation","maximumElevationInMeters","Maximum Elevation In Metres","Max altitude/elevation for this occurrence. http://rs.tdwg.org/dwc/terms/maximumElevationInMeters"
"verbatimElevation","verbatimElevation","verbatimElevation","verbatimElevation","Elevation","verbatimElevation","","http://rs.tdwg.org/dwc/terms/verbatimElevation"
"verbatimElevation","verbatimElevation","verbatimElevation","verbatimElevation","Elevation","verbatimElevation","","http://rs.tdwg.org/dwc/terms/verbatimElevation"
"minimumDepthInMeters","minimumDepthInMeters","minimumDepthInMeters","minimumDepthInMeters","Min depth","minimumDepthInMeters","Minimum Depth In Meters","Min depth for this occurrence. http://rs.tdwg.org/dwc/terms/minimumDepthInMeters"
"maximumDepthInMeters","maximumDepthInMeters","maximumDepthInMeters","maximumDepthInMeters","Max depth","maximumDepthInMeters","Maximum Depth In Meters","Max depth for this occurrence as supplied by the data publisher http://rs.tdwg.org/dwc/terms/maximumDepthInMeters"
"verbatimDepth","verbatimDepth","verbatimDepth","verbatimDepth","Depth","verbatimDepth","","http://rs.tdwg.org/dwc/terms/verbatimDepth"
"verbatimDepth","verbatimDepth","verbatimDepth","verbatimDepth","Depth","verbatimDepth","","http://rs.tdwg.org/dwc/terms/verbatimDepth"
"locationAccordingTo","locationAccordingTo","locationAccordingTo","locationAccordingTo","Location According To","locationAccordingTo","","http://rs.tdwg.org/dwc/terms/locationAccordingTo"
"locationRemarks","locationRemarks","locationRemarks","locationRemarks","Location Remarks","locationRemarks","","http://rs.tdwg.org/dwc/terms/locationRemarks"
"decimalLatitude","decimalLatitude","decimalLatitude","decimalLatitude","Latitude","decimalLatitude","Decimal latitude (WGS84)","The decimal latitude associated with this record. If the original latitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLatitude"
"decimalLongitude","decimalLongitude","decimalLongitude","decimalLongitude","Longitude","decimalLongitude","Decimal longitude (WGS84)","The decimal longitude associated with this record. If the original longitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLongitude"
"geodeticDatum","geodeticDatum","geodeticDatum","geodeticDatum","Datum","geodeticDatum","Geodetic datum","http://rs.tdwg.org/dwc/terms/geodeticDatum"
"coordinateUncertaintyInMeters","coordinateUncertaintyInMeters","coordinateUncertaintyInMeters","coordinateUncertaintyInMeters","Coordinate uncertainty (in metres)","coordinateUncertaintyInMeters","Coordinate Uncertainty in Metres","A radius in metres defining the smallest circle the location could occur within http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters"
"coordinatePrecision","coordinatePrecision","coordinatePrecision","coordinatePrecision","Coordinate precision","coordinatePrecision","Coordinate Precision","http://rs.tdwg.org/dwc/terms/coordinatePrecision"
"verbatimCoordinates","verbatimCoordinates","verbatimCoordinates","verbatimCoordinates","Verbatim Coordinates","verbatimCoordinates","","http://rs.tdwg.org/dwc/terms/verbatimCoordinates"
"verbatimLatitude","raw_decimalLatitude","verbatimLatitude","raw_decimalLatitude","Latitude (unprocessed)","raw_decimalLatitude","Latitude - original","The decimal latitude as supplied by the data publisher http://rs.tdwg.org/dwc/terms/verbatimLatitude"
"verbatimLatitude","verbatimLatitude","verbatimLatitude","verbatimLatitude","Verbatim Latitude","verbatimLatitude","","http://rs.tdwg.org/dwc/terms/verbatimLatitude"
"verbatimLongitude","raw_decimalLongitude","verbatimLongitude","raw_decimalLongitude","Longitude (unprocessed)","raw_decimalLongitude","Longitude - original","The decimal longitude as supplied by the data publisher http://rs.tdwg.org/dwc/terms/verbatimLongitude"
"verbatimLongitude","verbatimLongitude","verbatimLongitude","verbatimLongitude","Verbatim Longitude","verbatimLongitude","","http://rs.tdwg.org/dwc/terms/verbatimLongitude"
"verbatimCoordinateSystem","raw_geodeticDatum","verbatimCoordinateSystem","raw_geodeticDatum","Datum (unprocessed)","raw_geodeticDatum","Geodetic datum - original","Datum - original http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem"
"verbatimCoordinateSystem","verbatimCoordinateSystem","verbatimCoordinateSystem","verbatimCoordinateSystem","Verbatim Coordinate System","verbatimCoordinateSystem","","http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem"
"verbatimSRS","verbatimSRS","verbatimSRS","verbatimSRS","Verbatim SRS","verbatimSRS","","http://rs.tdwg.org/dwc/terms/verbatimSRS"
"footprintSRS","footprintSRS","footprintSRS","footprintSRS","Footprint SRS","footprintSRS","","http://rs.tdwg.org/dwc/terms/footprintSRS"
"georeferencedBy","georeferencedBy","georeferencedBy","georeferencedBy","Georeferenced By","georeferencedBy","","http://rs.tdwg.org/dwc/terms/georeferencedBy"
"georeferencedDate","georeferencedDate","georeferencedDate","georeferencedDate","Georeferenced Date","georeferencedDate","","http://rs.tdwg.org/dwc/terms/georeferencedDate"
"georeferenceProtocol","georeferenceProtocol","georeferenceProtocol","georeferenceProtocol","Georeference Protocol","georeferenceProtocol","","http://rs.tdwg.org/dwc/terms/georeferenceProtocol"
"georeferenceSources","georeferenceSources","georeferenceSources","georeferenceSources","Georeference Sources","georeferenceSources","","http://rs.tdwg.org/dwc/terms/georeferenceSources"
"georeferenceVerificationStatus","georeferenceVerificationStatus","georeferenceVerificationStatus","georeferenceVerificationStatus","Georeference Verification Status","georeferenceVerificationStatus","","http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus"
"georeferenceRemarks","georeferenceRemarks","georeferenceRemarks","georeferenceRemarks","Georeference Remarks","georeferenceRemarks","","http://rs.tdwg.org/dwc/terms/georeferenceRemarks"
"identificationID","identificationID","identificationID","identificationID","Identification ID","identificationID","","http://rs.tdwg.org/dwc/terms/identificationID"
"identificationQualifier","identificationQualifier","identificationQualifier","identificationQualifier","Identification qualifier","identificationQualifier","","http://rs.tdwg.org/dwc/terms/identificationQualifier"
"typeStatus","typeStatus","typeStatus","typeStatus","Specimen type","typeStatus","","http://rs.tdwg.org/dwc/terms/typeStatus"
"identifiedBy","identifiedBy","identifiedBy","identifiedBy","Identified by","identifiedBy","Identified by","http://rs.tdwg.org/dwc/terms/identifiedBy"
"dateIdentified","dateIdentified","dateIdentified","dateIdentified","Date Identified","dateIdentified","","http://rs.tdwg.org/dwc/terms/dateIdentified"
"identificationReferences","identificationReferences","identificationReferences","identificationReferences","Identification References","identificationReferences","","http://rs.tdwg.org/dwc/terms/identificationReferences"
"identificationVerificationStatus","identificationVerificationStatus","identificationVerificationStatus","identificationVerificationStatus","Identification Verification Status","identificationVerificationStatus","","http://rs.tdwg.org/dwc/terms/identificationVerificationStatus"
"identificationRemarks","identificationRemarks","identificationRemarks","identificationRemarks","Identification Remarks","identificationRemarks","","http://rs.tdwg.org/dwc/terms/identificationRemarks"
"taxonID","taxonID","taxonID","taxonID","Taxon ID","taxonID","","http://rs.tdwg.org/dwc/terms/taxonID"
"scientificNameID","scientificNameID","scientificNameID","scientificNameID","Scientific Name ID","scientificNameID","","http://rs.tdwg.org/dwc/terms/scientificNameID"
"acceptedNameUsageID","acceptedNameUsageID","acceptedNameUsageID","acceptedNameUsageID","Accepted name","acceptedNameUsageID","Accepted Name Usage ID","http://rs.tdwg.org/dwc/terms/acceptedNameUsageID"
"taxonConceptID","taxonConceptID","taxonConceptID","taxonConceptID","Taxon Concept GUID","taxonConceptID","Taxon Concept GUID","The GUID for the concept in the National Species List (NSL) http://rs.tdwg.org/dwc/terms/taxonConceptID"
"scientificName","scientificName","scientificName","scientificName","Scientific name","scientificName","Scientific Name (intepreted)","The name the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/scientificName"
"acceptedNameUsage","acceptedNameUsage","acceptedNameUsage","acceptedNameUsage","Accepted name","acceptedNameUsage","Accepted Name Usage","http://rs.tdwg.org/dwc/terms/acceptedNameUsage"
"parentNameUsage","parentNameUsage","parentNameUsage","parentNameUsage","Parent Name Usage","parentNameUsage","","http://rs.tdwg.org/dwc/terms/parentNameUsage"
"originalNameUsage","originalNameUsage","originalNameUsage","originalNameUsage","Original name usage","originalNameUsage","","http://rs.tdwg.org/dwc/terms/originalNameUsage"
"nameAccordingTo","nameAccordingTo","nameAccordingTo","nameAccordingTo","Name According To","nameAccordingTo","","http://rs.tdwg.org/dwc/terms/nameAccordingTo"
"namePublishedIn","namePublishedIn","namePublishedIn","namePublishedIn","Name Published In","namePublishedIn","","http://rs.tdwg.org/dwc/terms/namePublishedIn"
"higherClassification","higherClassification","higherClassification","higherClassification","Higher Classification","higherClassification","","http://rs.tdwg.org/dwc/terms/higherClassification"
"kingdom","kingdom","kingdom","kingdom","Kingdom","kingdom","Kingdom","The kingdom the Atlas has matched this record to in the system classification http://rs.tdwg.org/dwc/terms/kingdom"
"phylum","phylum","phylum","phylum","Phylum","phylum","Phylum","The phylum the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/phylum"
"class","class","class","class","Class","class","Class","The class the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/class"
"order","order","order","order","Order","order","Order","The order the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/order"
"family","family","family","family","Family","family","Family","The family the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/family"
"genus","genus","genus","genus","Genus","genus","Genus","The genus the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/genus"
"subgenus","subgenus","subgenus","subgenus","Subgenus","subgenus","","http://rs.tdwg.org/dwc/terms/subgenus"
"specificEpithet","specificEpithet","specificEpithet","specificEpithet","Specific Epithet","specificEpithet","","http://rs.tdwg.org/dwc/terms/specificEpithet"
"infraspecificEpithet","infraspecificEpithet","infraspecificEpithet","infraspecificEpithet","Infraspecific Epithet","infraspecificEpithet","","http://rs.tdwg.org/dwc/terms/infraspecificEpithet"
"taxonRank","taxonRank","taxonRank","taxonRank","Identified to rank","taxonRank","Taxon Rank","http://rs.tdwg.org/dwc/terms/taxonRank"
"verbatimTaxonRank","verbatimTaxonRank","verbatimTaxonRank","verbatimTaxonRank","Verbatim Taxon Rank","verbatimTaxonRank","","http://rs.tdwg.org/dwc/terms/verbatimTaxonRank"
"scientificNameAuthorship","scientificNameAuthorship","scientificNameAuthorship","scientificNameAuthorship","Scientific Name Authorship","scientificNameAuthorship","","http://rs.tdwg.org/dwc/terms/scientificNameAuthorship"
"vernacularName","vernacularName","vernacularName","vernacularName","vernacularName","vernacularName","Vernacular name","The common name the ALA has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/vernacularName"
"nomenclaturalCode","nomenclaturalCode","nomenclaturalCode","nomenclaturalCode","Nomenclatural Code","nomenclaturalCode","","http://rs.tdwg.org/dwc/terms/nomenclaturalCode"
"taxonomicStatus","taxonomicStatus","taxonomicStatus","taxonomicStatus","Taxonomic Status","taxonomicStatus","","http://rs.tdwg.org/dwc/terms/taxonomicStatus"
"nomenclaturalStatus","nomenclaturalStatus","nomenclaturalStatus","nomenclaturalStatus","Nomenclatural Status","nomenclaturalStatus","","http://rs.tdwg.org/dwc/terms/nomenclaturalStatus"
"taxonRemarks","taxonRemarks","taxonRemarks","taxonRemarks","Taxon Remarks","taxonRemarks","","http://rs.tdwg.org/dwc/terms/taxonRemarks"
"verbatimBasisOfRecord","raw_basisOfRecord","verbatimBasisOfRecord","raw_basisOfRecord","Record type (unprocessed)","raw_basisOfRecord","Basis Of Record - original","The basis of record as supplied by the data publisher http://rs.tdwg.org/dwc/terms/verbatimBasisOfRecord"
"measurementDeterminedDate","measurementDeterminedDate","measurementDeterminedDate","measurementDeterminedDate","Measurement Determined Date","measurementDeterminedDate","","http://rs.tdwg.org/dwc/terms/measurementDeterminedDate"
"videos","videoIDs","videos","videoIDs","videos","videoIDs","videos","http://rs.tdwg.org/dwc/terms/videos"
"species","species","species","species","Species","species","Species","The species the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/species"
"measurementRemarks","measurementRemarks","measurementRemarks","measurementRemarks","Measurement Remarks","measurementRemarks","","http://rs.tdwg.org/dwc/terms/measurementRemarks"
"measurementValue","measurementValue","measurementValue","measurementValue","Measurement Value","measurementValue","","http://rs.tdwg.org/dwc/terms/measurementValue"
"relationshipRemarks","relationshipRemarks","relationshipRemarks","relationshipRemarks","Relationship Remarks","relationshipRemarks","","http://rs.tdwg.org/dwc/terms/relationshipRemarks"
"identifierRole","identifierRole","identifierRole","identifierRole","","identifierRole","","http://rs.tdwg.org/dwc/terms/identifierRole"
"relationshipOfResource","relationshipOfResource","relationshipOfResource","relationshipOfResource","Relationship Of Resource","relationshipOfResource","","http://rs.tdwg.org/dwc/terms/relationshipOfResource"
"measurementMethod","measurementMethod","measurementMethod","measurementMethod","Measurement Method","measurementMethod","","http://rs.tdwg.org/dwc/terms/measurementMethod"
"provenance","provenance","dcterms:provenance","provenance","Provenance","provenance","","Provenance of this dataset. e.g. Published dataset, Draft, Individual sightings"
"sounds","soundIDs","sounds","soundIDs","sounds","soundIDs","sounds","http://rs.tdwg.org/dwc/terms/sounds"
"recordID","id","recordID","id","Record ID","id","Record ID","Atlas unique ID for this record http://rs.tdwg.org/dwc/terms/recordID"
"rights","rights","dcterms:rights","rights","","rights","",""
"source","source","dcterms:source","source","","source","",""
"verbatimScientificName","raw_scientificName","verbatimScientificName","raw_scientificName","Scientific name (unprocessed)","raw_scientificName","Scientific Name - original","Original scientific name supplied with the record http://rs.tdwg.org/dwc/terms/verbatimScientificName"
"verbatimContinent","raw_continent","verbatimContinent","raw_continent","","raw_continent","","http://rs.tdwg.org/dwc/terms/verbatimContinent"
"measurementID","measurementID","measurementID","measurementID","Measurement ID","measurementID","","http://rs.tdwg.org/dwc/terms/measurementID"
"measurementType","measurementType","measurementType","measurementType","Measurement Type","measurementType","","http://rs.tdwg.org/dwc/terms/measurementType"
"measurementUnit","measurementUnit","measurementUnit","measurementUnit","Measurement Unit","measurementUnit","","http://rs.tdwg.org/dwc/terms/measurementUnit"
"measurementDeterminedBy","measurementDeterminedBy","measurementDeterminedBy","measurementDeterminedBy","Measurement Determined By","measurementDeterminedBy","","http://rs.tdwg.org/dwc/terms/measurementDeterminedBy"
"measurementAccuracy","measurementAccuracy","measurementAccuracy","measurementAccuracy","Measurement Accuracy","measurementAccuracy","","http://rs.tdwg.org/dwc/terms/measurementAccuracy"
"relatedResourceID","relatedResourceID","relatedResourceID","relatedResourceID","Related Resource ID","relatedResourceID","","http://rs.tdwg.org/dwc/terms/relatedResourceID"
"images","imageIDs","images","imageIDs","images","imageIDs","images","Image URLs for this record http://rs.tdwg.org/dwc/terms/images"
"dcterms:type","type","dcterms:type","type","","type","",""
